"[""['Yemen'"", "" '16-01-2024'""]","['abdulrahman al', 'european union', 'yehya sinwar']"
"[""['Gaza Strip'"", "" '16-01-2024'""]","['evacuation', 'cease', 'disease']"
"[""['Miseno"", ' Campania']","['ancient cataclysm', 'afternoon', 'beach']"
"[""['Clarendon"", ' Clarendon']","['fight', 'st catherine', 'jamaica']"
"[""['Philadelphia"", ' Pennsylvania']","['snowstorm', 'snow shovels', 'accuweather meteorologists']"
"[""['New Bedford"", ' Massachusetts']","['traffic', 'ariel dorsey', 'united states']"
"[""['Corofin"", ' Clare']","['emergency services', 'rescue service', 'afternoon']"
"[""['United States'"", "" '16-01-2024'""]","['morning', 'watsonville', 'quake']"
"[""['Syria'"", "" '16-01-2024'""]","['cholera', 'symptom', 'mohamad katoub']"
"[""['Iceland'"", "" '16-01-2024'""]","['jóhannesson', 'evacuation', 'lúðvík pétursson']"
"[""['United States'"", "" '16-01-2024'""]","['winter storms', 'confiscated horses', 'heavy snow']"
"[""['District Of Columbia"", "" United States'""]","['perpetrator', 'minutes', 'prejudice']"
"['[""[\'volvo\']""', "" '16-01-2024'""]","['civilian ships', 'helicopter', 'ceasefire']"
"[""['nan'"", "" '16-01-2024'""]","['gujarat university', 'seetha kumari', 'bajaj finance']"
"[""['Portland"", ' Oregon']","['cason wolcott', 'philip wolcott', 'mixed emotions']"
"[""['Nigeria'"", "" '16-01-2024'""]","['badaru abubakar', 'chuks oyema', 'french parliament']"
"[""['Gaza Strip'"", "" '16-01-2024'""]","['beit', 'lahia', 'society']"
"[""['York County"", ' Maine']","['dispatcher', 'dispatchers', 'rachel cavanaugh']"
"[""['Milwaukee"", ' Wisconsin']","['jim', 'united states', 'jason noel']"
"[""['nan'"", "" '16-01-2024'""]","['zoë buchli', 'espresso menu', 'flashing staff']"
"['[""[\'department of transportation\'', ' \'warwick police department\']""']","['police', 'transportation', 'department']"
"['[""[\'orange county fire department\']""', "" '16-01-2024'""]","['vehicle', 'casasia drive', 'orlando']"
"[""['California"", "" United States'""]","['mike epps', 'flowers', 'disease']"
"['[""[\'fredericktown fire department\']""', "" '16-01-2024'""]","['firefighters', 'highway oo', 'temperatures']"
"[""['Lewis County"", ' New York']","['home', 'firefighters', 'united states']"
"[""['Appalachian"", ' Alabama']","['alabama', 'hearst television', 'united states']"
"[""['United States'"", "" '16-01-2024'""]","['machines', 'keflavík airport', 'sundhnúksgígar']"
"[""['Ireland'"", "" '16-01-2024'""]","['freezing fog', 'lowest temperatures', 'west breezes']"
"[""['Modesto"", ' California']","['pumps', 'hearst television', 'united states']"
"[""['Vancouver Island"", ' British Columbia']","['freezing rain', 'heavy snow', 'widespread snow']"
