	Count
storm	1374
tornado	314
weather	265
day	167
news	164
blast	107
storms	107
snow	96
today	94
cyclone	89
drop	88
awaited drop	86
morning	86
project	84
time	81
winter	73
journey	73
terrorism	73
winds	70
days	69
meltdown	65
people	61
night	60
flames	59
potential	56
rain	51
tornadoes	51
water	50
afternoon	49
frens	48
hail	45
amp	45
damage	45
exiting news	44
tokens	44
forecast	43
wind	42
exciting journey	42
congrats	41
flooding	41
launch	39
way	38
hurricanes	37
blizzard	37
calm	35
warnings	35
thunder	35
heavy rain	35
style	35
watch	34
mph	34
strong winds	33
areas	33
tomorrow	33
lol	32
bombing	32
clouds	32
thunderstorm	32
shelter	32
trump	31
partnership	29
yes	29
man	29
total	29
times	29
future	29
thunderstorms	29
summer	28
power	28
march	27
profits	27
heat	27
toise	27
radar	26
tornado warnings	26
gale	26
coast	26
severe weather	25
airdrop	25
home	25
updates	25
desantis	25
culture	24
blaze	24
year	24
week	24
life	24
whirlwind	23
weekend	23
stormwatch	23
nature	23
riot	23
change	23
tonight	22
effect	22
things	22
temperatures	22
country	22
war	22
tropical storm	22
flood	22
tornado warning	21
warning	21
train	21
shit	21
thread	20
work	20
texas	20
guy	20
emergency	20
horizon	19
end	19
high winds	19
room	19
tweet	19
decentralization	19
tropical cyclone	18
sirens	18
israel	18
children	18
demonstration	17
america	17
evacuation	17
trees	17
crime	17
area	17
gusts	17
market	17
california	17
state	17
team	17
place	17
trading	17
years	16
car	16
st	16
sea	16
minutes	16
god	15
degrees	15
game	15
city	15
thing	15
weather aware	15
fees	15
gaza	15
wx	15
ass	15
outlook	15
rainfall	15
flwx	15
moment	14
head	14
friday	14
saturday	14
friends	14
face	14
update	14
couple	14
half	14
event	14
exciting times	14
register	14
climate change	14
climate	14
video	14
look	13
twitter	13
floods	13
death	13
evening	13
rebellion	13
election	13
world	13
sunshine	13
lightning	13
guys	13
severe storm	12
huge profits	12
post	12
hour	12
tornado watch	12
fl	12
showers	12
info	12
winter storm	12
meteorologists	12
temps	12
lot	12
canada	12
games	12
beginning	12
tornados	12
yesterday	12
damaging winds	12
snowfall	12
watches	12
house	12
quake	12
woman	11
shore	11
pm	11
tempest	11
rewards	11
eye	11
